Time,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
1742955486.029675,0.6455454784816314,0.05755399958352232,0.38124949738291103,0.020009854793304003,0.05413627423445912,0.9983285440012368,0.0029979585609315367
1742955486.0345583,0.6454915374165122,0.05754619605233105,0.38109449783416804,0.019997887217559886,0.05412925319002141,0.9983291903977768,0.0029893236097651337
1742955486.0396302,0.6454397476889803,0.05753700217009783,0.38093934128459633,0.019989758018580592,0.054123815136411,0.9983296771010378,0.002979602117027476
1742955486.0445611,0.6453880984652062,0.057525747824121315,0.38078400941261886,0.019978350565344083,0.05412006096372734,0.9983301454401732,0.002967358315632184
1742955486.049635,0.6453384714266913,0.057513258758811296,0.3806320134546552,0.019968357705804775,0.05411648564790345,0.9983305797371684,0.002953681313628352
1742955486.054669,0.6452899663270424,0.057499840976914136,0.3804780227141225,0.019964131832071373,0.05411242029094192,0.9983309260801467,0.002939633039142057
1742955486.059606,0.645247071669566,0.05748571755759526,0.3803262251357893,0.019977614793806782,0.05410637640933145,0.9983310227287852,0.0029264306415683313
1742955486.064571,0.6452080661350342,0.05747133469481425,0.3801783854512221,0.020004330854257922,0.054097789759279195,0.9983309904594032,0.0029136538197504246
1742955486.06958,0.645171628040656,0.05745646879859473,0.38003382600453933,0.020037961926782713,0.05408590160720786,0.998330999227385,0.002900225992470381
1742955486.0746799,0.6451389739695823,0.05744100829746819,0.3798931402144364,0.02008417074192773,0.054069780556950754,0.9983309836174922,0.0028865317359940785
1742955486.0795765,0.6451152714430444,0.057425868580261934,0.3797568663788239,0.020158652933103174,0.05404838198134944,0.9983306727233351,0.002875589834139157
1742955486.084629,0.6450976130540205,0.057411702098883736,0.379619846397244,0.02025569161921138,0.054021336122563705,0.998330194302011,0.0028679863091547525
1742955486.0897007,0.6450804066808828,0.057398920631787025,0.3794810967140114,0.020350238861959094,0.05398834626546173,0.9983300773823736,0.002860566287634226
1742955486.0946167,0.6450661124655812,0.057388738408264306,0.37934525061723945,0.02045116458862824,0.053950573686306125,0.9983300709710721,0.002855671686577695
1742955486.0996084,0.6450577522562182,0.057381515110493844,0.379215769105589,0.020572926360357752,0.053907988236736946,0.9983298702618871,0.002855459354093904
1742955486.1045425,0.6450551492692262,0.057376731879398256,0.3790931965802453,0.020715496345797547,0.053862029592481674,0.9983293916940351,0.002859310956124883
1742955486.1097357,0.6450536552656966,0.05737306575660246,0.37897347057690917,0.020859310589299653,0.05381376417874722,0.9983289864946856,0.0028640305772295238
1742955486.114585,0.6450595487916486,0.05737043813205445,0.3788562106393841,0.02102455836159451,0.05376745299997515,0.9983279911334302,0.0028724663767075724
1742955486.1195984,0.645073495338081,0.05736852661540752,0.37874429390541825,0.021214100386282495,0.05372306946220589,0.9983263354851214,0.002884723419793516
1742955486.1246037,0.6450865467206971,0.05736728407048587,0.37863545018706823,0.021398156527477844,0.05368088193131093,0.9983246411030992,0.0028970292836926924
1742955486.1295598,0.6451047832277401,0.05736728923833569,0.37852989032475826,0.021593912102520176,0.05364060593813694,0.9983225480368333,0.002911775393648431
1742955486.1346025,0.6451265038004323,0.05736854024724985,0.37842643475978366,0.02180047688634022,0.05360012418382968,0.9983201824225539,0.0029290378633197453
1742955486.1396348,0.6451459913431392,0.05737066301740698,0.37832487973299606,0.02199745850906664,0.05356008683596855,0.99831796032349,0.002946016431082859
1742955486.1445835,0.645166531479888,0.057374496677549625,0.37822623160019375,0.022194336208194908,0.05352090510369562,0.9983156498319868,0.0029643646362557427
1742955486.1495707,0.6451910098626502,0.05737944372433671,0.3781339420047247,0.022404351226418012,0.053478768754879814,0.9983131564933391,0.0029846123519296584
1742955486.1545854,0.6452136410120227,0.05738470301240075,0.37804474142311006,0.02260352782335456,0.05343140025752185,0.9983111484948745,0.0030027965805463222
1742955486.1596138,0.6452375506630882,0.05738933978207476,0.37795907366251097,0.02279905431093668,0.053380033805180103,0.9983094018339966,0.0030188281389774306
1742955486.164609,0.6452622489839303,0.05739294418832608,0.3778726565372083,0.022995771686653455,0.05332595994330171,0.9983077352028191,0.0030335317500621733
1742955486.1695619,0.6452866711922438,0.05739573227018582,0.377787960039918,0.023183278026903453,0.05327054573096896,0.9983063188917622,0.0030460200641605085
1742955486.1746135,0.6453119761190962,0.05739835146710811,0.377707509684118,0.023366447204873592,0.053216101179064806,0.9983049175761277,0.0030573294952354856
1742955486.179673,0.6453393621827422,0.057400162423020075,0.37763000862421964,0.02355258591102192,0.05316076398068256,0.9983034571494112,0.0030686012168362644
1742955486.1845808,0.64536876599807,0.057401421560648695,0.37755271687695724,0.023739657979367113,0.05311019177018427,0.9983016824378353,0.0030800991777011136
1742955486.1896598,0.6453949105951831,0.05740116021068212,0.3774755019082436,0.023907557735213053,0.05306530151841003,0.9983000400455486,0.0030874751745895
1742955486.1945927,0.6454215640531515,0.057399366845719904,0.37739965177619417,0.024069942671040227,0.05302287500155763,0.9982983772546962,0.003092338439178638
1742955486.1996224,0.6454500071372732,0.05739709413833266,0.37732534863352496,0.0242317438697245,0.05298476278522951,0.9982964738977459,0.003096401936485124
