Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,wrench.force.x,wrench.force.y,wrench.force.z,wrench.torque.x,wrench.torque.y,wrench.torque.z
1742951741.7307777,59587,1742951741,730613937,ft_sensor0_wrench,-11.644083976745605,2.69081974029541,-40.489646911621094,0.13316231966018677,0.20513413846492767,0.08653435111045837
1742951741.7374372,59588,1742951741,737277037,ft_sensor0_wrench,-11.808536529541016,2.729940414428711,-40.58159255981445,0.13471001386642456,0.20610573887825012,0.08583137392997742
1742951741.7441225,59589,1742951741,743964619,ft_sensor0_wrench,-11.919792175292969,2.613758087158203,-40.623958587646484,0.13340705633163452,0.20557503402233124,0.08507981896400452
1742951741.7507272,59590,1742951741,750610500,ft_sensor0_wrench,-12.008758544921875,2.545625686645508,-40.50044250488281,0.13257920742034912,0.20497840642929077,0.08480468392372131
1742951741.757389,59591,1742951741,757279104,ft_sensor0_wrench,-11.854406356811523,2.5328798294067383,-40.19132614135742,0.1320713758468628,0.20216217637062073,0.08483909070491791
1742951741.7641068,59592,1742951741,763945013,ft_sensor0_wrench,-11.69536018371582,2.511826515197754,-39.81391143798828,0.13006997108459473,0.20147959887981415,0.08557218313217163
1742951741.7707927,59593,1742951741,770642186,ft_sensor0_wrench,-11.500572204589844,2.517751693725586,-39.46402359008789,0.12934604287147522,0.20103944838047028,0.08606859296560287
1742951741.7774172,59594,1742951741,777291920,ft_sensor0_wrench,-11.34019947052002,2.543333053588867,-39.20676040649414,0.12919369339942932,0.20002351701259613,0.08590342104434967
1742951741.7840338,59595,1742951741,783943621,ft_sensor0_wrench,-11.297236442565918,2.4767093658447266,-39.114871978759766,0.12855103611946106,0.20013214647769928,0.08563624322414398
1742951741.7907417,59596,1742951741,790613144,ft_sensor0_wrench,-11.338744163513184,2.431894302368164,-39.04155731201172,0.1271950900554657,0.20034311711788177,0.08474873006343842
1742951741.7975068,59597,1742951741,797305865,ft_sensor0_wrench,-11.28317642211914,2.530803680419922,-38.966243743896484,0.1274135708808899,0.19866280257701874,0.08486592024564743
1742951741.8040884,59598,1742951741,803971714,ft_sensor0_wrench,-11.325323104858398,2.611027717590332,-38.866580963134766,0.1258038580417633,0.19952689111232758,0.08478640019893646
1742951741.8106856,59599,1742951741,810611065,ft_sensor0_wrench,-11.29461669921875,2.7736597061157227,-38.859703063964844,0.12572816014289856,0.19819706678390503,0.08542419970035553
1742951741.817444,59600,1742951741,817296672,ft_sensor0_wrench,-11.364639282226562,2.899930953979492,-39.07020568847656,0.126447856426239,0.19925974309444427,0.08618909120559692
1742951741.8240483,59601,1742951741,823950794,ft_sensor0_wrench,-11.432134628295898,2.886646270751953,-39.37607955932617,0.12656885385513306,0.19929470121860504,0.08660802990198135
1742951741.830759,59602,1742951741,830632033,ft_sensor0_wrench,-11.487354278564453,2.8593358993530273,-39.634090423583984,0.1266823709011078,0.19875763356685638,0.08679462969303131
1742951741.8374326,59603,1742951741,837294833,ft_sensor0_wrench,-11.566081047058105,2.798727035522461,-39.77656936645508,0.12710705399513245,0.19929024577140808,0.08714114129543304
1742951741.8440104,59604,1742951741,843944019,ft_sensor0_wrench,-11.493352890014648,2.863515853881836,-39.7776985168457,0.12942290306091309,0.19745726883411407,0.08670109510421753
1742951741.8507245,59605,1742951741,850611297,ft_sensor0_wrench,-11.553175926208496,2.848104476928711,-39.728614807128906,0.12808364629745483,0.19868020713329315,0.0869416669011116
1742951741.8573754,59606,1742951741,857280231,ft_sensor0_wrench,-11.588287353515625,2.884531021118164,-39.70099639892578,0.12779024243354797,0.19839981198310852,0.08721120655536652
1742951741.8640523,59607,1742951741,863962453,ft_sensor0_wrench,-11.599963188171387,2.8804798126220703,-39.71847152709961,0.12799972295761108,0.1959504932165146,0.08743132650852203
1742951741.870717,59608,1742951741,870613008,ft_sensor0_wrench,-11.729385375976562,2.8473739624023438,-39.6639518737793,0.1277526319026947,0.19521799683570862,0.08739035576581955
1742951741.877368,59609,1742951741,877290092,ft_sensor0_wrench,-11.765507698059082,2.7822885513305664,-39.538692474365234,0.1269799768924713,0.193082794547081,0.08779343217611313
1742951741.8840604,59610,1742951741,883962105,ft_sensor0_wrench,-11.77704906463623,2.7706356048583984,-39.3480110168457,0.12697437405586243,0.19278685748577118,0.08777691423892975
1742951741.8907585,59611,1742951741,890634460,ft_sensor0_wrench,-11.690805435180664,2.736466407775879,-39.13685607910156,0.12636396288871765,0.19217252731323242,0.08733133226633072
1742951741.897426,59612,1742951741,897295590,ft_sensor0_wrench,-11.585990905761719,2.7436208724975586,-39.046722412109375,0.1261868178844452,0.1924515962600708,0.08757690340280533
1742951741.9040864,59613,1742951741,903982026,ft_sensor0_wrench,-11.472150802612305,2.713541030883789,-39.078346252441406,0.12588360905647278,0.19343917071819305,0.08734408020973206
1742951741.9107857,59614,1742951741,910631295,ft_sensor0_wrench,-11.396374702453613,2.7497634887695312,-39.15623092651367,0.1270746886730194,0.19423924386501312,0.08668296039104462
1742951741.9174526,59615,1742951741,917309628,ft_sensor0_wrench,-11.324722290039062,2.698650360107422,-39.22782897949219,0.12563276290893555,0.19360588490962982,0.08669611811637878
1742951741.9241,59616,1742951741,923962817,ft_sensor0_wrench,-11.27935791015625,2.743783950805664,-39.205020904541016,0.1260974407196045,0.19327746331691742,0.08629441261291504
1742951741.9307933,59617,1742951741,930620754,ft_sensor0_wrench,-11.35282039642334,2.80971622467041,-39.27656173706055,0.12846624851226807,0.193642720580101,0.08538316190242767
1742951741.9374006,59618,1742951741,937276961,ft_sensor0_wrench,-11.393049240112305,2.7837486267089844,-39.321327209472656,0.12854188680648804,0.19277729094028473,0.08424846827983856
1742951741.9441147,59619,1742951741,943963470,ft_sensor0_wrench,-11.445601463317871,2.7440261840820312,-39.41188049316406,0.1282075047492981,0.1917407363653183,0.08399717509746552
1742951741.9508314,59620,1742951741,950650819,ft_sensor0_wrench,-11.546487808227539,2.7970056533813477,-39.480857849121094,0.12973284721374512,0.19212599098682404,0.08376268297433853
1742951741.957465,59621,1742951741,957314591,ft_sensor0_wrench,-11.64516830444336,2.8195743560791016,-39.47620391845703,0.1294618546962738,0.19243191182613373,0.08356373012065887
1742951741.9641197,59622,1742951741,963970786,ft_sensor0_wrench,-11.61009407043457,2.8901071548461914,-39.44708251953125,0.12970346212387085,0.19034409523010254,0.0840899646282196
1742951741.970775,59623,1742951741,970615197,ft_sensor0_wrench,-11.568721771240234,2.9552793502807617,-39.32509231567383,0.1289389431476593,0.18960879743099213,0.08464117348194122
1742951741.977453,59624,1742951741,977297550,ft_sensor0_wrench,-11.536811828613281,2.9672164916992188,-39.2553596496582,0.12842926383018494,0.19021180272102356,0.08533577620983124
1742951741.9840338,59625,1742951741,983948488,ft_sensor0_wrench,-11.397562026977539,2.9010181427001953,-39.04438400268555,0.12731605768203735,0.18882641196250916,0.08554677665233612
1742951741.9906836,59626,1742951741,990610638,ft_sensor0_wrench,-11.43217658996582,2.84848690032959,-38.97967529296875,0.1284227967262268,0.19049407541751862,0.08454711735248566
1742951741.9973865,59627,1742951741,997298709,ft_sensor0_wrench,-11.397876739501953,2.7377452850341797,-38.93709945678711,0.12952163815498352,0.18968889117240906,0.08372576534748077
1742951742.0040126,59628,1742951742,3943810,ft_sensor0_wrench,-11.373186111450195,2.5743589401245117,-38.92141342163086,0.1300080418586731,0.1901959776878357,0.08308209478855133
1742951742.010704,59629,1742951742,10625643,ft_sensor0_wrench,-11.306108474731445,2.504183769226074,-39.02309036254883,0.13109785318374634,0.19008061289787292,0.08253052830696106
1742951742.0174222,59630,1742951742,17295999,ft_sensor0_wrench,-11.278054237365723,2.526278495788574,-39.17204284667969,0.1327534019947052,0.1912623792886734,0.08226986229419708
1742951742.02404,59631,1742951742,23947096,ft_sensor0_wrench,-11.235952377319336,2.5826921463012695,-39.342308044433594,0.1345246434211731,0.1914730966091156,0.08160945773124695
1742951742.0307002,59632,1742951742,30612591,ft_sensor0_wrench,-11.26662540435791,2.5465335845947266,-39.509368896484375,0.13356250524520874,0.19277366995811462,0.08204017579555511
1742951742.0373855,59633,1742951742,37276879,ft_sensor0_wrench,-11.249752044677734,2.648341178894043,-39.480403900146484,0.13429126143455505,0.19094380736351013,0.08169620484113693
1742951742.0440938,59634,1742951742,43960695,ft_sensor0_wrench,-11.269088745117188,2.6246814727783203,-39.42591857910156,0.13220030069351196,0.18967700004577637,0.08153440058231354
1742951742.0507581,59635,1742951742,50614086,ft_sensor0_wrench,-11.292736053466797,2.726716995239258,-39.230350494384766,0.13200992345809937,0.18909551203250885,0.08187329024076462
1742951742.0573754,59636,1742951742,57277172,ft_sensor0_wrench,-11.284567832946777,2.795596122741699,-39.083465576171875,0.13174879550933838,0.1880921572446823,0.08196443319320679
1742951742.0640497,59637,1742951742,63945538,ft_sensor0_wrench,-11.296844482421875,2.8638858795166016,-38.984840393066406,0.13192832469940186,0.1874244213104248,0.08181355148553848
1742951742.0707755,59638,1742951742,70627478,ft_sensor0_wrench,-11.346118927001953,2.9288549423217773,-38.936065673828125,0.13249480724334717,0.18809063732624054,0.08185339719057083
1742951742.077376,59639,1742951742,77282830,ft_sensor0_wrench,-11.302200317382812,2.900465965270996,-38.977813720703125,0.1299002766609192,0.18668371438980103,0.0825992226600647
1742951742.084184,59640,1742951742,83961932,ft_sensor0_wrench,-11.337142944335938,2.9822940826416016,-39.04393005371094,0.12924262881278992,0.18678541481494904,0.08337506651878357
